Model Brand Name,Model Name
NIMBUS,405 Fly
SEALINE,S330
NIVADO,QUADSKI XL
DELTA,400 SW
ADMIRAL,620
ADMIRAL,700
ADMIRAL,650
WHALY,BLUEBOAT
GOLDFISH,29 SUPERSPORT
GOLDFISH,38 SUPERSPORT
TERHI,400 C
SPORTIS,RIB
YAMAHA,SUPER JET RACING
RIBEYE,S785
RIBEYE,A600
RUPERT,R6
RUPERT,R5
QUICKSILVER,555 PILOTHOUSE
STING,535 PRO
ANYTEC,868 CAB
BRIG,NAVIGATOR 700
LOMAC,ADRENALINA 9.5
SEA-DOO,GTR
GREATWHITE,330C
SELVA,EMOTION 600
SELVA,EMOTION 540
SELVA,PRO 550
SELVA,ELEGANCE 5.7
SEA-DOO,RXP260
SEA-TEC,GUMMIBÅT
MAREX,375
NORDKAPP,NOBLESSE 655
NORDKAPP,ENDURO 705
OCKELBO,B18AL
NORDIC OCEANCRAFT,22DC
NORDIC OCEANCRAFT,38
BELLA,700 PATROL
BELLA,600 R
AQUADOR,27 DC
AQUADOR,22 WA
SAGA,365
SAGA,325
ARCTIC BLUE,27 MK II
FAIRLINE,TARGA 48 GT
RS,AERO
FINNMASTER,T7
NIMBUS,305 Coupé
ARVOR,690
ARVOR,730 PILOTHOUSE
EPOCA,OPEN
SARGO,28
SARGO,31
ZODIAC,PRO OPEN 650
HIGHFIELD,CL 260
HIGHFIELD,CL 310
HIGHFIELD,OM390
HIGHFIELD,OM460
TERHI,445
UTTERN,D77
STING,STING
XO,250 OPEN
XO,270 FRONT CABIN
MERCURY,420 OCEANRUNNER
MERCURY,250 AIRDECK
MERCURY,250 ULC
MERCURY,240 DINGHY
BRIG,NAVIGATOR 520
LOMAC,ADRENALINA 8.5
LOMAC,ADRENALINA 7.5
SEA-DOO,SPARK
SEA-DOO,GTI
SEA-DOO,RXP
ADMIRAL,560 PREMIUM
OLYMPIC,620 C
OLYMPIC,520 C
RYDS,628 SPORT
RYDS,628 DUO
RYDS,F548 SPORT
RYDS,628 MID C
RYDS,F548 MID C
RYDS,F548 DUO
RYDS,485 SPORT
SANDSTRÖM,CLASSIC 620MC
SANDSTRÖM,BASIC 465 R
ARRONET,20 5 SPO
ARRONET,24 5 SXP
CRESCENT,ALLURE 20 ELECTRIC
SUZUMAR,DS-350FDJ
YAMAHA,FZ S
YAMAHA,V1 SPORT
YAMAHA,FX CRUISER
ALUMACRAFT,TOURNAMENT PRO 195
ALUMACRAFT,ESCAPE 165
ALUMACRAFT,VOYAGER 175 LE
ALUMACRAFT,ESCAPE 145
KEWATEC,EASY 7.1
COOPER YACHT,800
EMILI,425
EMILI,530
RYDS,F488 SPORT
RYDS,F488 TWIN
RYDS,F488 LIGHT
QUICKSILVER,ACTIV PRO FISH 805
BELLA,600 BR
YAMARIN CROSS,64 BR
FLIPPER,880 ST
ASKELADDEN,C61 Center Console
ASKELADDEN,C61 Bowrider
ASKELADDEN,C75 Cruiser
BUSTER,MAGNUM M5
NORDIC,77
AMT,230 BR
CAMPION,545 I BR
CAMPION,535 I BR
CAMPION,505 I BR
DUFOUR,Dufour 382 Grand Large
DUFOUR,Dufour 350 Grand Large
Zitarra,Z7
TG,6.9
AGAPI,950
AGAPI,750
QUICKSILVER,CAPTURE 280 ARVOR
QUICKSILVER,CAPTURE 250 ARVOR
QUICKSILVER,CAPTURE 230 ARVOR
QUICKSILVER,CAPTURE 215 ARVOR
QUICKSILVER,ACTIV 675 SUNDECK
QUICKSILVER,ACTIV 605 SUNDECK
QUICKSILVER,ACTIV 555 OPEN
TG,7200 KING CRUISER tillv från -06
NAJAD,441
CRESCENT,PIKEMASTER
CRESCENT,552 SC BJÖRNEN
CRANCHI,Clipper 760
BUSTER,M
ARCONA,380
CRESCENT,SALMON V23
ZODIAC,RAID LIMITED EDITION
ZODIAC,N-ZO
YAMARIN CROSS,75 BR
YAMARIN CROSS,57 BR
YAMARIN,56 BR
WETA,WETA
WESTLINE,25 SPORT
VIGGO,X8
VAN WIJK,830 CLASSIC
VALIANT,580 COMFORT
VALIANT,470 SPORT
UTTERN,S45
TERHI,400
SUVI,5700 S DUO
SUVI,4750 S DUO
SUVI,4250 S
SUVI,4180
SUVI,495
SUVI,460
SUVI,420
ADMIRAL,RIVIERA 24
ADMIRAL,570 TRADER
SILVER,WOLF 510 BR
SILVER,SHARK 580 BR
SILVER,EAGLE 650 BR
SILVER,HAWK 540 BR
SILVER,FOX 485 BR
SILVER,FOX 485 AVANT
SEASCAPE,27
SEALVER,WAVEBOAT
SEALINE,F380
SEA RAY,265 SUNDANCER
SEA FORCE ONE,RIB 808
SEA FORCE ONE,COACH-RIB
SCANYACHT,SCANNER 361
SALONA,33
RYDS,F588 SPORT
RYDS,F588 DUO
ROW GENERATION,SCULL
ROW GENERATION,EXPLORER 4.6
RIVAL,470 AVO
QUICKSILVER,CAPTURE 675 PILOTHOUSE
QUICKSILVER,CAPTURE 555 PILOTHOUSE
PURSUIT,ST310
OVINGTON,29:ER
PRINCESS,V35
NYDAM,600 ALU
NYDAM,550 FISK
NYDAM,505 SPORT
NYDAM,500 ALU
NYDAM,490 SPORT
NYDAM,470 SPORT
NYDAM,470 FISK
NYDAM,450 ALU
MASTER,510
JEANNEAU MOTORBÅT,NC9
HR,440 SC
HR,390
HABER,700
HABER,660
GRANDEZZA,40 FLY
GRAND,S550
GRAND,S470
GRAND,S300S
GRAND,S275
GRAND,G650
GRANADA,G380
GRAND,G340
GLASTRON,GT229
GALEON,430 SKYDECK
GALEON,GALIA 750 HT
FOILTWISTER,FOILTWISTER
FINN FLYER,34 GT
FASTER,635 CC
FASTER,525 CC
FASTER,495
FABOLA,DIVA 24 DC
FABOLA,CAMPUS 7.4
DUFOUR,310 GRAND LARGE
CRESCENT,518 ARROW
CRANCHI,ENDURANCE 27 OPEN
COBALT,R5
COBALT,220
CHRIS CRAFT,CORSAIR 32
CHRIS CRAFT,CARINA 21
CHAPARALL,SSI 225
BUSTER,XLE
BUSTER,CABIN
BELLA,630 RC
BELLA,9000
BAYLINER,742
BAYLINER,642
BAVARIA,VIRTESS 420 FLY
ASKELADDEN,P77 Weekend
ARRONET,24 5 SXO
ARRONET,20 5 CS
ARIBOATS,ARI SHUTTLE 32
AQUADOR,30 DC
ANYTEC,530 SPF
ANELL,STORSNIPA
ANELL,SOMMAREKA
ANELL,SKÄRGÅRDSSNIPA
ANELL,HOMMEKA
ANELL,ELINBÅT
ALUKIN,CW 750
ALUCRAFT,20 SP
ALUCRAFT,16 SP
BENETEAU SEGELBÅTAR,SENSE 55
BENETEAU SEGELBÅTAR,SENSE 46
BENETEAU SEGELBÅTAR,OCEANIS 55
BENETEAU SEGELBÅTAR,OCEANIS 48
BENETEAU SEGELBÅTAR,OCEANIS 45
AXOPAR,28 Aft Cabin
UTTERN,S57
FINNMASTER,76 CA
FINNMASTER,61 CA
DRIVE,46 Open
RS,FEVA
GOLDFISH,23 PATROL
BUSTER,Scc
BUSTER,L
PIONER,14 ACTIVE
PIONER,17 FLEXI
SEA RAY,190 sport
ARRONET,24 5 SXT
TAKACAT,LITE 340
TAKACAT,LITE 300
TAKACAT,SPORT 340
TAKACAT,SPORT 300
TAKACAT,SPORT 260
ZODIAC,PRO 420
YAMARIN,57 BR
X-YACHTS,XC 35
WESTLINE,360 SPORT COUPÉ
TRACKER,PROGUIDE 16 WT
STORMER,RESCUE BOAT 65
STING,570 BR
STING,485 S
STING,485
RIBEYE,S 740 SX
RIBEYE,S 650
RIBEYE,A 600
QUICKSILVER,CAPTURE 605 PILOTHOUSE
QUICKSILVER,ACTIV 855 CRUISER
OCKELBO,B16AL
NORDKAPP,605 AVANT
NIMBUS,405 Coupé
NIMBUS,21 NOVA
MONKI RiB,MR23
JEANNEAU SEGELBÅT,SUN ODYSSEY 349
INTER,6900 FISHERMAN
HV,320
HR,532 CC
HIGHFIELD,UL 260
HIGHFIELD,CL 390
HIGHFIELD,CL 340
HIGHFIELD,CL 290
HIGHFIELD,590 OM
HIGHFIELD,500 OM
CRUISERLINE,AZ 279
BRIG,NAVIGATOR 610
BRIG,Navigator 570
BRIG,EAGLE 780
BRIG,EAGLE 650
BRIG,EAGLE 480
BRIG,EAGLE 380
BRIG,EAGLE 340
BRIG,FALCON 500 S
BRIG,FALCON 450 L
BRIG,FALCON 360 S
BRIG,FALCON 330 S
BRIG,FALCON 300 S
BRIG,FALCON 300 L
BRIG,FALCON 275
@SEA,AM 230
WINDY,39 CAMIRA
WINDY,29 COHO
DRACO,26 RS
MINOR,OFFSHORE 36
EPOCA,COUPÉ
SAGA,320 SUN TOP
BENETEAU SEGELBÅTAR,OCEANIS 38
BAVARIA,CRUISER 37
DIVA,24 DC
MICORE,480 SC OFFSHORE
FLIPPER,640 SC
FLIPPER,600 SC
FINNMASTER,PILOT 8.0
FINNMASTER,T8
DELTA,33 OPEN
CRESCENT,465 FLEXI
CRESCENT,625 MC
CRESCENT,465 FISHING
CRESCENT,465 CIRRUS
ATLANTIC MARINE,660 ADVENTURE
ANTARIS,SIXTY6
ADMIRAL,560
ADMIRAL,630 OPEN
SANDSTRÖM,CLASSIC 565
SANDSTRÖM,560 MC
SANDSTRÖM,CLASSIC 510
SANDSTRÖM,CLASSIC 495 S
SANDSTRÖM,CLASSIC 430 R
SANDSTRÖM,BASIC 495 R
SANDSTRÖM,BASIC 425 R
SANDSTRÖM,CLASSIC 495 AC
RYDS,588 WA
RYDS,468 SPORT
BELLA,570 EXCEL
BELLA,535 EXCEL
BELLA,525 R
AQUADOR,35 ST
AQUADOR,30 ST
AQUADOR,27 HT
RIVAL,490 AVO
BENETEAU UTOMBORDARE,ANTARES 7.80
BENETEAU UTOMBORDARE,ANTARES 5.80
AMT,190 HT
AMT,170 R
ADANA,TEST-DATA-1
DEHLER,35 SQ
DEHLER,38
HALLBERG-RASSY,55
KIMPLE,450 ADVENTURE
KIMPLE,410 ADVENTURE
KIMPLE,370 CATCH
KIMPLE,430 CATCH
KIMPLE,300 CATCH
OSKWIG,370
OSKWIG,330
JEANNEAU SEGELBÅT,SUN ODYSSEY 469
ATLANTIC MARINE,900 ADVENTURE
JEANNEAU SEGELBÅT,SUN ODYSSEY 41 DS
ELAN 400,ELAN 400
FAREAST,FAREAST 18
FAREAST,FAREAST 26
YAMARIN CROSS,60 CABIN
YAMARIN CROSS,53 BR
YAMARIN CROSS,49 BR
GRADDO,GRADDO 540
HIGHFIELD,OCEAN MASTER
VAN WIJK,550
VAN WIJK,621 LOUNGE
HIGHFIELD,CLASSIC
HIGHFIELD,ULTRALITE
HIGHFIELD,OCEAN MASTER DL
VAN WIJK,621 CLASSIC
DAHL,27
FAIRLINE,SQUADRON 42
SEA STAR,24 CABIN
HR,432
HR,460 FISHING
RIVAL,415 AVO
RIVAL,430 AVO
RIVAL,490 GOLDFISH
VIKNES,930
MICORE,628 CC OFFSHORE
ARRONET,25 CXIP
DOLMOY,220 FISKER
NORD WEST,430 FLYBRIDGE
EMILI,455
WINDY,CHINOOK 45
J/BOATS,J70
ANYTEC,860 SPD
ANYTEC,747 CAB
GOLDFISH,50
NORDKAPP,ENDURO 605
NORDKAPP,550 AVANT
UTTERN,T57
UTTERN,D57
UTTERN,T51
UTTERN,S51
FLIPPER,640 DC
QUICKSILVER,CAPTURE 755 PILOTHOUSE
FINNMASTER,55 BR
FINNMASTER,PILOT 7.0
GRANDEZZA,33 OC
YAMARIN,63 BR
BUSTER,SUPERMAGNUM t.o.m. 2017
CRESCENT,491 BR
CRESCENT,ALLURE 20 CLASSIC
WINDY,26 KHARMA
FORBINA,42 FLY
SCANDICA,670 RETRO
VILM,37
HANSE,345
SWEDESTAR,415
X-YACHTS,XP 33
VIKNES,830
MÖREBAS,9500
ROSLAGEN 25,ROSLAGEN 25
SEA STAR,670S
SEA STAR,SEA STAR 670S
SHIPMAN,SHIPMAN 28
CAMPION,ALLANTE 595
ÖRNVIK,460 DC
MAREX,320 ACC
AMT,215 PH
FAURBY,424
CAPELLI,TE 625 X-TREME RAID
BENETEAU UTOMBORDARE,BARRACUDA 9
BENETEAU UTOMBORDARE,BARRACUDA 7
BENETEAU UTOMBORDARE,ANTARES 8.80
CR,380 DS
STORMER,TUGBOAT 70
STORMER,TUGBOAT 60
BESTEWIND,50
HANSE,415
DELPHIA,46CC
BAYLINER,212 CUDDY SPORTBOAT
HALLBERG-RASSY,412
FLIPPER,760 DC
FLIPPER,670 ST
BAYLINER,255 SB
AMT,150 R
AMT,185 HT
AMT,230 DC
SEA RAY,305 SUNDANCER
MERIDIAN,391
YAMARIN CROSS,63 BR
ASTRA,400
RIVAL,430 TG
DORAL,ELITE 265
XO,220 S CC
CRESCENT,680 DC
CRESCENT,ALLURE 26
FORBINA,36 CC
ANYTEC,860 CAB
NAUTIQUE,SUPER AIR NAUTIQUE 230
HAMMARINE,SPORTFISHER C7
SKÄRGÅRDSSTRÖVAREN,SKARGARD 24
DUFOUR,36 PERFORMANCE
PARAGON,25 OPEN
GRANDEZZA,39 CA
WILLIAMS,TURBOJET 285
RYDS,F528 WA
RYDS,F528 DUO
SUZUMAR,225
WINDY,31 ZONDA
SEAMASTER,680 BOWRIDER
@SEA,HV320
@SEA,KL270
@SEA,YL260
@SEA,YS370
NIMBUS,34 NOVA
NIMBUS,31 NOVA S
J/BOATS,J/108
VILM,41CR
STING,570 DC
NORDKAPP,NOBLESSE 625
QUICKSILVER,ACTIV 705 CRUISER
QUICKSILVER,ACTIV 675 OPEN
QUICKSILVER,ACTIV 505 OPEN
QUICKSILVER,ACTIV 605 OPEN
ATLANTIC MARINE,730 S
FINNMASTER,62DC
FINNMASTER,61HT
SILVER,WOLF DC 510
SESSA,FLY 40
SESSA,C32
SESSA,KEY LARGO 24 VENTIQUATTRO
SESSA,KEY LARGO ONE
MARIL,795
DRIVE,OPEN 50
MICORE,500CC
ARRONET,23 5 SPO
FLIPPER,670 DC
BELLA,471 R
VIPER,630
CRESCENT,620 C VIRGO
CRESCENT,FLEXI
CRESCENT,491 SC
CRESCENT,491 HT GEMENI
SCANDICA,20 DC EXCLUSIVE
STING,530 S
UTTERN,S62
AQUADOR,35 C
RYDS,F528 SPORT
ARRONET,24 5 CX
NORDKAPP,550 ENDURO
YAMARIN CROSS,53 CENTER CONSOLE
EMILI,600
BRIG,EAGLE 580
ASKELADDEN,P80 Weekend
SANDSTRÖM,CLASSIC  620 MC
SEAMASTER,TRENDLINE 670 SPORTFISHER
SKORGENES,NORDIC ROVER 43
TETIS,TETIS
FINNMASTER,5700DC
RYDS,460
J-CRAFT,TORPEDO
BAVARIA,SPORT 31
GRANDEZZA,27 DC
SALONA,38
DELTA,26 OPEN
DELPHIA,1050 ESCAPE
ARIBOATS,ARI SHUTTLE 30 OPEN
X-YACHTS,XP 38
MALÖ,37
HANSE,HANSE 445
DRAGONFLY,35
GRAND SOLEIL,GRAND SOLEIL 39
VAN DE STADT,PIONIER 9
WESTLINE,34 SPORT COUPÉ
YAMAHA,VXR
T-YACHTS,T-34
T-YACHTS,T-42
TENDERLINE,YOUNGSTER XL
TENDERLINE,YOUNGSTER
TENDERLINE,"ALU RIB 8,0 F"
TAYANA,48
TARGA,32
SIRIUS,310 DS
BENETEAU SEGELBÅTAR,SENSE 43
BENETEAU SEGELBÅTAR,SENSE 50
SAARE,46
SAARE,41
SAARE,38
NORDSHIP,360 DS
NAJAD,505
MARIL,650
LINSSEN,GRAND STURDY 34.9 AC
LINJETT,34
LEOPARD,46
NORDIC OCEANCRAFT,NORDIC 33
HYDROLIFT,SX-22
HYDROLIFT,S-28
HYDROLIFT,C-27 CAB
HYDROLIFT,C-24
HANSE,495
HANSE,385
HANSE,355
GALEON,325 HT
FLEMING,65
FLEMING,55
FINNMASTER,68 WA
FINN FLYER,42
FAURBY,396
FAURBY,363
FAURBY,325
ELAN,210
EF,34
DELTA,54 IPS
DELPHIA,1350 ESCAPE
DELPHIA,37.3
DELPHIA,33.3
DEHLER,41
CORVETTE,340
BUSTER,XXL CABIN
BUSTER,MAGNUM PRO
BENETEAU INOMBORDARE,FLYER GRAN TURISMO 38
BENETEAU SEGELBÅTAR,FIRST 35
BAVARIA,SPORT 43
ARCHAMBAULT,A31
ARCHAMBAULT,M34
CAPELLI,CAP 21 OPEN
MAXUS,21 SCANDINAVIA
GULLHOLMENSNIPAN,23 TR
CATCH,7.5WAC
COMAR,COMET 21 OPEN
COMAR,COMET 26 S
JEANNEAU SEGELBÅT,SUN ODYSSEY 44 DS
JEANNEAU SEGELBÅT,SUN ODYSSEY 509
JEANNEAU SEGELBÅT,SUN ODYSSEY 379
NAUTICAT,525
LINJETT,30
ROW GENERATION,VENTURE 15
ARRONET,35 CI
JEANNEAU SEGELBÅT,SUN ODYSSEY 439
RS,200
C-RIB,25
ANYTEC,860 FB
GOLDFISH,28
VECTOR,28 FC
SEACAT,7.5
BLESSER,360
BLESSER,440
BLESSER,505
STORM,22
SILVER MARINE,EXPO 60
GRANDEZZA,31 OC
GRANDEZZA,29 WA
RYDS,23 DC S
RYDS,20 DCI S
RYDS,23 WA S
GRISSLAN,520 S
GRISSLAN,640 AC
GRISSLAN,640 C
GRISSLAN,660 C
MAXUS,24 SCANDINAVIA
CAPELLI,626 TOP
CAPELLI,Tempest 570 SWE
CAPELLI,470 TOP
CRESCENT,565 SCC MICKEY
CRESCENT,405
CRESCENT,COSMOS
ALUKIN,SPORT CABIN 750
GREENWAVE,515 ESR
RUPTECH,32
CARIBE BOAT,TENDER LINE C9X
MOTORSNIPAN,TORE HERLIN 1933
GRANDEZZA,27 OC
SEA FORCE ONE,RIB 646 PRO
SUNSEEKER,48 PORTOFINO
HAMMARINE,SPORTFISHER 700 C
DAYTRIPPER,8
@SEA,HV-650
@SEA,HV-500
FAST FISHER,17 OPEN
MALÖ,47
YAMARIN CROSS,61 CENTER CONSOLE
NORD STAR,24 Patrol
PRINCESS,V52
FLIPPER,630 OC
STINGRAY,195 FX
RYDS,425R
CAMPUS,6.3
HANSE,325
FLIPPER,705 DC
CRESCENT,465 TRADER
BELLA,640 DC till 2018
BAYLINER,175 GT
CAMPUS,7.4
BAVARIA,34 SPORT
AQUADOR,21 WA E
AQUADOR,28 C
AQUADOR,32 C
ALUKIN,DP 600
DELTA,40 SW
TRESFJORD,ULTRA 360 FB
AMT,200 BR
DUFOUR,445
SEACART,26
STANLEY,BULLNOSE 40
COMBO,38
NORDKAPP,NOBLESS 650
SWEDESTAR,370
SCANNER,361
RUPERT,28 CABIN
BENETEAU SEGELBÅTAR,OCEANIS 40
TÄRNSKÄR,24
NORD STAR,26 Patrol
DORAL,MONTICELLO 255
DORAL,VENEZIA 275
DORAL,ALEGRIA 445
SCANGAARD YACHTS,21
HANSE,375
PURSUIT,OS 315
PURSUIT,DC 265
CAMPUS,6.6
ARRONET,27 SP
FAIRLINE,TARGA 38
SCANDINAVIAN CRUISER,20
ZODIAC,PRO 500
TERHI,SAIMAN
SANDSTRÖM,CLASSIC 4.95 AC
SANDSTRÖM,CLASSIC 5.60 MC
RYDS,568 DCI
OCEANMASTER,605 WA
HR,480
BENETEAU UTOMBORDARE,ANTARES 7.5
CRESCENT,C55
MV MARIN 2,6600 FC
MV MARIN 2,5700 BR
MV MARIN 2,5400 MC
MV MARIN 2,5400 HT
XO,270 RS
BAYLINER,DISCOVERY 192
BAYLINER,185 BR
QUICKSILVER,640 PILOTHOUSE
SILVER,EAGLE 650 DC
BELLA,560 HT560 HT A
FALCON,26 FANTINO
BELLA,703
ARRONET,27 CIR
ARRONET,23 5 SPR
ARRONET,20 5 C
NIMBUS,320 COUPE
NIMBUS,300 R
NIMBUS,35 NOVA
PURSUIT,S 280 SPORT
PURSUIT,OS 235
PURSUIT,C 230 CENTER CONSOLE
PURSUIT,OS 345 OFFSHORE
KRONA BOATS,2-KRONA
CRESCENT,PRIMO
SILVER,FOX R 485
MAREX,370 ACC
UTTERN,D68
SILVER,SHARK 580 DC
DUFOUR,365
UTTERN,S64
TG,ALFA
FORBINA,36FLY
BOSTON WHALER,170M
AQUADOR,23 WA
PURSUIT,OS 285
SILVER,FOX DC 485
TG,5900 SPORT FICHER
TG,7200 KING CRUISER tillv från -00
VIPER,243
VIPER,203
NAUTIQUE,216
MICORE,570CC
HANTERBARA BÅTAR,FRED 25 CABIN
TERHI,TWIN 475 C
TERHI,475 OPEN FC
BENETEAU UTOMBORDARE,FLYER 750 CABRIO
YAMARIN,65 DC
FINNMASTER,62 BR
FINNMASTER,57 BR
JEANNEAU MOTORBÅT,MERRY FISHER 6 MARLIN
JEANNEAU MOTORBÅT,MERRY FISHER 595
GOLDFISH,29 RIB TENDER
GOLDFISH,23 TENDER
CRESCENT,650 DC
SCANDICA,485
WESTLINE,34 TARGA
WESTLINE,25 FAMILY
GP,700
FAIRLINE,TARGA 44
SEA RAY,350 SUNDANCER
SEA RAY,235 WEEKENDER
EMILI,590
EMILI,460
FINNMASTER,52 SC
FINNMASTER,49 CC
FINNMASTER,66 WA
ANYTEC,860 SPDI
ANYTEC,750 SPD
ANYTEC,530 SPD
PARAGON,25
NIMBUS,27S E POWER
PARAGON,31
NIMBUS,43 NOVA
NIMBUS,250 R
X-YACHTS,XP 44
ATLANTIC MARINE,690 DC
ATLANTIC MARINE,580 DC
ATLANTIC MARINE,625 OPEN
ATLANTIC MARINE,550 OPEN
ATLANTIC MARINE,530 OPEN
BUSTER,Lx
LINDER,SPORTSMAN 445 MAX
NORDKAPP,ENDURO 760
NORDKAPP,AVANT 600
ZODIAC,650 PRO OPEN
ZODIAC,550 PRO
MICORE,570 CC OFFSHORE
BRANDSKÄR,290 A
SANDSTRÖM,570 S-CRUISER
LARSON,216 SC
LARSON,LX 850
LARSON,LX 710
YAMARIN,76 DC
OCEANMASTER,660 DC
OCEANMASTER,660 WA
SEA-DOO,WAKE PRO 215
REGAL,2550
REGAL,2250
REGAL,2100
REGAL,2000 ES
MAXI YACHTS,1300
CRESCENT,ALLURE 21
CRESCENT,535 HT CLASSIC
RYDS,490 TCI
RYDS,20 DCI
BUSTER,MAGNUM t.o.m. 2017
BAYLINER,802
BAVARIA,36 CRUISER
AQUADOR,21 WA S
AQUADOR,25 WAE
AQUADOR,23 HT
AQUADOR,26 HT
AQUADOR,23 DC
AQUADOR,28 DC
AQUADOR,25 CE
AMT,170 BRS
SEA STAR,20CC
BAYLINER,160 BR
ASKELADDEN,C62 Cruiser
ASKELADDEN,P66 Pilothouse
ASKELADDEN,S6
BENETEAU INOMBORDARE,SWIFT TRAWLER 34
BENETEAU INOMBORDARE,ANTARES 30
JENS,28
TARGA,23.1
DEHLER,32
COBALT,A25
AQUADOR,33 HT
AQUADOR,28 HT
AQUADOR,26 DC
BAVARIA,32
SEA RAY,255 DA SUNDANCER
AMT,185 R
AMT,200 DC
AMT,200 C
CAPELLI,TEMPEST 770 WA SWE
HR,480 SC
AQUADOR,22 C
ZODIAC,PRO OPEN 550
SEA RAY,185
SEAMASTER,210 FLEXI
SEAMASTER,175 CLASSIC
SEAMASTER,TRENDLINE 700
SANDSTRÖM,D CRUISER 5.70
SANDSTRÖM,CLASSIC 5.60
SANDSTRÖM,CLASSIC 5.10
RYDS,568 GTS
NORDKAPP,NOBLESSE 760
MICORE,500 SC CLASSIC
MICORE,550 CC CLASSIC
MICORE,630 CC OFFSHORE
REGAL,BOWRIDER 1900
SEA STAR,720
SEA STAR,660
LINDER,ARKIP 460
INTER,9000
BAYLINER,702
ATLANTIC MARINE,570 S
ATLANTIC MARINE,650 S
ATLANTIC MARINE,670 OPEN
ASKELADDEN,565 WASPER
ASKELADDEN,525 EXCEL
ASKELADDEN,C6
XO,240 RS OPEN
BAYLINER,111 GT
QUICKSILVER,700 WEEKEND
QUICKSILVER,640 WEEKEND
UTTERN,S52
BELLA,600 OCEAN
BELLA,530 EXCEL
BELLA,500 EXCEL
BELLA,621 DC
BELLA,765
SILVER,SHARK 580 CC
RYDS,620 GTS
UTTERN,D55
CRESCENT,STINGRAY ENTRE
ARVOR,250AS DELUXE
ARVOR,230 AS
ARVOR,215
NAJAD,355
DELPHIA,33
NORDKAPP,500 ENDURO
NORDKAPP,500 AVANT
NORDKAPP,600 ENDURO
MAREX,350 CABRIOLET CRUISER
GP,760 SE
MARIL,625
COBALT,222 WSS
TIGER MARINE,PRO TENDER 370
TIGER MARINE,SPORT LINE 520
TIGER MARINE,TENDER T280
TIGER MARINE,TOP LINE 650
BARCON,BARCONSNÄCKAN
SAGA,310
SKORGENES,445
HR,530CC
NORD STAR,28 Patrol
FLIPPER,705 HT
FLIPPER,630 HT
FLIPPER,605 WA
PRINCESS,42
BENETEAU UTOMBORDARE,ANTARES 6.80
BENETEAU SEGELBÅTAR,FIRST 30
ARRONET,27 CI
DAHL,18
HR,610 CB
WESTBOAT,28
SEA STAR,20
AIRSHIP RIB,R8
QUICKSILVER,ACTIV 535 OPEN
BELLA,600 DC
GREENLINE,33 HYBRID
LINDER,SPORTSMAN 445 CATCH
UTTERN,T62
UTTERN,D62
ASKELADDEN,P66 Weekend
D-KANOT,TEJST
XO,220 S
DRIVE,HARDTOP 66
DRIVE,DAYCRUISER 66
NORD WEST,430 SPORTS TOP
STINGRAY,225 SX
STINGRAY,215 CR
STINGRAY,208 CR
X-YACHTS,X-34
TARGA,37 IPS
TARGA,27.1
SAGA,315
BENETEAU SEGELBÅTAR,OCEANIS 34
JEANNEAU SEGELBÅT,SUN ODYSSEY 36I
WINDY,40  MAESTRO
MINOR,OFFSHORE 28
FLIPPER,625 DC
STINGRAY,250 CS
STINGRAY,235 CR
SKAGER,660
WESTFJORD,26
CAPELLI,TEMPEST 626 TOP
HR,440SC
ARRONET,23 5 SPT
AGAPI,900 WA
JEANNEAU SEGELBÅT,SUN ODYSSEY 409
NORD WEST,370 SPORT
NORD WEST,370 FLYBRIDGE
HANTERBARA BÅTAR,FRED 25
DELTA,34 SW
TARGA,44 IPS
NORD STAR,37 Patrol
CATCH,7.5WA
SKILSÖ,33 ARCTIC
JEANNEAU MOTORBÅT,LEADER 9
JEANNEAU MOTORBÅT,LEADER 8
FINNMASTER,59SC
ARCONA,410
RHEA MARINE,800 Timonier
RHÉA,750
NOR-DAN,820W
SESSA,OYSTER 36
HALLBERG-RASSY,64
GOLDEN CUT,28
DRIVE,SPORT CONSOLE 56
DRIVE,CONVERTIBLE 56
JENNIPHER,JENNIPHER 28
ELAN,350
RYDS,618 GTI
FISKSÄTRA,FIRALLY CABIN
HUNTER,50CC
HUNTER,45DS
HUNTER,39
FINNGULF,331
ATOMIX,600 SPORTS CUDDY
ATOMIX,RHIB 500
KOSTERFJORD,46
